Date,Season,Details
12/6/2005,2005-2006,"The NBA fined Carmelo Anthony (Den) $5,000 for tossing a ball into the stands during Saturday's Mia-Den game."
12/10/2005,2005-2006,The NBA suspended Danny Fortson (Sea) for 1 game for verbally abusing the refs and failing to leave the court in a timely manner following his ejection during Friday's Sea-Uta game
12/12/2005,2005-2006,"The NBA fined Houston $100,000 for taking the team to Las Vegas during last week's road trip."
12/15/2005,2005-2006,"The NBA fined Phil Jackson (LAL) $25,000 for violating the league's anti-tampering rule for Jackson's comments about the Lakers' future interest in Chris Bosh (Tor)."
12/15/2005,2005-2006,"The NBA fined Ron Artest (Ind) $10,000 for making public statements detrimental to the NBA for his public statement that he wanted to be traded."
12/18/2005,2005-2006,"Dallas fined Darrell Armstrong (a long time Washington fan) $1,000 for his comment of ""How about them Redskins"" on the mic after wishing the fans a safe holiday prior to Sunday's Dal-Orl game. Washington defeated the Cowboys 35-7 earlier that day. Dallas planned on donating the fine to a charity of the Cowboy's choice."
12/19/2005,2005-2006,Utah fined Deron Williams and Robert Whaley an undisclosed amount for lying to the team regarding their involvement in an altercation in which they gave the police a false name. Whaley was also suspended for 1 game for lying to the team about how he suffered a cut on his right hand that required 6 stitches.
12/26/2005,2005-2006,"The NBA fined Stephen Jackson (Ind) $20,000 for making an obscene gesture after he was ejected during Friday's Cle-Ind game. Jackson denies making the gesture and plans on appealing the fine."
12/26/2005,2005-2006,"The NBA fined Nate McMillan (Por) $15,000 for verbally abusing the refs and failing to leave the court in a timely manner following Friday's Min-Por game."
12/29/2005,2005-2006,The NBA suspended Danny Fortson (Sea) for 2 games for berating a ref and failing to leave the court in a timely manner following his ejected during Wednesday's Sea-Min game.
12/30/2005,2005-2006,The NBA suspended Kobe Bryant (LAL) for 2 games for his flagrant elbow to Mike Miller (Mem) in the throat during Wednesday's Mem-LAL game. Bryant also commented after the game that he planned on fouling hard the next player who came down the lane when he fouled Miller.
1/2/2006,2005-2006,New York activated Jackie Butler and placed Jerome James on IL. James was suspended indefinitely for conduct detrimental to the team as the Knicks said he was unprepared to practice on Sunday.
1/7/2006,2005-2006,The NBA suspended Juwan Howard (Hou) for 1 game for shoving the ball into the face of Mike James (Tor) during Friday's Hou-Tor game.
1/11/2006,2005-2006,The NBA suspended Carlos Arroyo (Det) for bumping a ref during Tuesday's Det-NO game.
1/12/2006,2005-2006,Orlando suspended Steve Francis indefinitely for conduct detrimental to the team. Francis refused to re-enter Wednesday's Orl-Sea game during the 4th quarter. Francis ended up being suspended for 2 games.
1/13/2006,2005-2006,"The NBA suspended Keyon Dooling (Orl) for 5 games and Ray Allen (Sea) for 3 games for their fight in Wednesday's Orl-Sea game. Dooling got the longer suspension as he initiated the fight and also attempted to confront Allen in the hallway after leaving the court (security was able to keep Dooling from reaching Allen, though words were exchanged)."
1/19/2006,2005-2006,The NBA suspended Antonio Davis (NY) for 5 games for going into the stands during Wednesday's NY-Chi game. Davis thought his wife was in danger and returned to the court (and was then ejected) without incident.
1/19/2006,2005-2006,The NBA suspended Baron Davis (GS) for 1 game for hitting Luke Ridnour (Sea) in the chest during Monday's GS-Sea game.
1/19/2006,2005-2006,"The NBA fined John Paxson (Chi GM) $15,000 for verbally abusing the refs following Monday's Chi-Den game."
1/26/2006,2005-2006,Utah suspended indefinitely Greg Ostertag for his conduct after Thursday's Uta-Sea game. Ostertag reportedly got in a verbal argument with coach Jerry Sloan. Ostertag's suspension ended up being for 1 game.
1/27/2006,2005-2006,"The NBA dismissed Chris Andersen (NO) from the league for violating the league's substance abuse program. As he had not been suspended previously for performance enhancing drugs (ie, steroids), he was mostly likely tossed for a positive test for ""drugs of abuse"", which could be any of methamphetamine, cocaine, LSD, opiates (including heroin, codeine, morphine), and PCP. The NBA Players Association will automatically appeal the dismissal. If the dismissal is upheld, Andersen can not apply for reinstatement for 2 years."
2/2/2006,2005-2006,"The NBA fined Larry Brown (NY) $20,000 for failing to leave the court in a timely manner following his ejection during Tuesday's NY-LAL game."
2/13/2006,2005-2006,"The NBA fined Kenyon Martin (Den) $15,000 for using inappropriate language with fans following Wednesday's Chi-Den game."
2/24/2006,2005-2006,The NBA suspended Sebastian Telfair (Por) for 2 games for violating the league's anti-gun rules. Telfair had accidentally carried a gun on to a team flight during a recent road trip.
2/24/2006,2005-2006,The NBA suspended David Harrison (Ind) for 1 game for directing obscenities at fans during Thursday's Ind-Det game.
2/24/2006,2005-2006,Atlanta suspended Salim Stoudamire for 2 games for conduct detrimental to the team.
2/27/2006,2005-2006,"The NBA fined Kevin Garnett (Min) $5,000 for throwing the ball into the stands during Sunday's Min-Mem game."
2/27/2006,2005-2006,"The NBA fined Ricky Davis (Min) $5,000 for kicking the ball into the stands during Friday's Den-Min game."
2/27/2006,2005-2006,"The NBA fined Rasheed Wallace (Det) $5,000 for throwing an elbow at Zydrunas Ilgauskas during Monday's Det-Cle game."
3/3/2006,2005-2006,The NBA suspended Robert Horry (SA) for 2 games for his altercation with Jerry Stackhouse and for making contact with a ref during Thursday's Dal-SA game.
3/3/2006,2005-2006,"The NBA fined Jerry Stackhouse (Dal) $30,000 for his comments about a ref following Thursday's Dal-SA game."
3/8/2006,2005-2006,"The NBA fined Brian Hill (Orl) $25,000 for criticizing the refs following Monday's Uta-Orl game."
3/17/2006,2005-2006,"The NBA fined Mike Woodson (Atl) $20,000 and Josh Smith (Atl) $15,000 for comments they made regarding the refs following Monday's Atl-Mil game."
3/19/2006,2005-2006,"The NBA fined Richard Hamilton (Det) $5,000 for throwing the ball into the stands during Friday's NY-Det game."
3/27/2006,2005-2006,"The NBA fined Bonzi Wells (Sac) $5,000 for punching the ball into the tunnel during Sunday's Sac-GS game."
3/28/2006,2005-2006,"The NBA fined Bruce Bowen (SA) $10,000 for kicking Ray Allen (Sea) in the back during Sunday's SA-Sea game."
3/28/2006,2005-2006,"The NBA fined Udonis Haslem (Mia) $5,000 for removing his jersey before he left the court after his ejection in Monday's Mia-Ind game."
3/29/2006,2005-2006,Boston suspended Orien Greene indefinitely for conduct detrimental to the team following his arrest for speeding over 90 mph on a city street.
3/31/2006,2005-2006,The NBA suspended DJ Mbenga (Dal) for 1 game for his flagrant foul on LeBron James (Cle) during Wednesday's Dal-Cle game.
4/5/2006,2005-2006,"The NBA fined Carmelo Anthony (Den) $15,000 for throwing the ball into the stands during Tuesday's Den-LAC game."
4/6/2006,2005-2006,The NBA suspended Rashard Lewis (Sea) for 1 game for his recent guilty plea for reckless driving.
4/7/2006,2005-2006,"The NBA fined Shaquille O'Neal (Mia) $15,000 for criticizing the refs and Stu Jackson, who is in charge of the officials, following Sunday's NJ-Mia game."
4/11/2006,2005-2006,"The NBA fined Richard Jefferson (NJ) $5,000 for kicking the ball into the standings during Sunday's NJ-Mil games."
4/14/2006,2005-2006,"The NBA suspended Josh Childress (Atl) for 2 games for throwing a forearm at Andres Nocioni (Chi) and fined Nocioni $5,000 and assessed him a flagrant foul level 2 for making unnecessary and excessive contact with Childress during Wednesday's Atl-Chi game."
4/14/2006,2005-2006,"The NBA fined Erick Dampier (Dal) $5,000 and upgraded his flagrant foul level 1 to a level 2 for his foul on Shawn Marion (Pho) during Thursday's Dal-Pho game."
4/17/2006,2005-2006,Portland suspended Zach Randolph for 1 game for leaving the arena during a game.
4/24/2006,2005-2006,The NBA suspended Ron Artest (Sac) for 1 game for throwing an elbow at Manu Ginobili (SA) during Saturday's Sac-SA game.
4/24/2006,2005-2006,The NBA suspended Udonis Haslem (Mia) for 1 game for throwing his mouth piece towards a ref during Saturday's Chi-Mia game.
4/25/2006,2005-2006,Denver suspended Kenyon Martin indefinitely for refusing to enter the game in the 2nd half of Monday's Den-LAC game.
4/27/2006,2005-2006,"The NBA fined Jermaine O'Neal (Ind) $15,000 for publicly criticizing the refs following Tuesday's Ind-NJ game."
4/29/2006,2005-2006,"The NBA fined Shaquille O'Neal (Mia) $25,000 for criticizing the refs after Thursday's Mia-Chi game."
5/1/2006,2005-2006,"The NBA fined Reggie Evans (Den) $10,000 and assessed him a flagrant foul level 2 for grabbing Chris Kaman (LAC) below the belt during Saturday's Den-LAC game. Kaman was assessed a flagrant for shoving Evans after the incident, but that has been downgraded to a technical."
5/1/2006,2005-2006,"The NBA fined Richard Hamilton (Det) $15,000 for his flagrant foul on Michael Redd (Mil) during Saturday's Det-Mil game."
5/3/2006,2005-2006,The NBA suspended Raja Bell (Pho) for 1 game for throwing Kobe Bryant (LAL) to the ground during Tuesday's Pho-LAL game.
5/3/2006,2005-2006,"The NBA fined Dirk Nowitzki (Dal) $15,000 and assessed him a flagrant foul level 2 for throwing an elbow at the chest of Pau Gasol (Mem) during Monday's Dal-Mem game."
5/10/2006,2005-2006,"The NBA fined Mark Cuban (Dal owner) $100,000 for going on the court during Sunday's SA-Dal game to complain about a non-call and $100,000 for criticizing on his blog how the league selects the playoffs refs."
5/12/2006,2005-2006,The NBA suspended Clifford Robinson (NJ) for 5 games for violating the league's substance abuse policy [most likely marijuana].
5/18/2006,2005-2006,The NBA suspended Jason Terry (Dal) for 1 game for throwing a punch at Michael Finley (SA) during Wednesday's Dal-SA game.
5/24/2006,2005-2006,"The NBA fined Eddie Jordan (Was) $25,000 for criticizing the refs following Cle-Was game 3 on April 28 (the fine was not previously announced by the league)."
6/11/2006,2005-2006,"The NBA fined Shaquille O'Neal (Mia) $10,000 and Miami $25,000 for O'Neal failing to make himself available to the media following Sunday's Dal-Mia game."
10/13/2006,2006-2007,"The NBA suspended Lorenzen Wright (Atl) and Kimani Ffriend (Mem) for 1 game for throwing punches in Wednesday's Atl-Mem game. Wright will serve the suspension in the first regular season game. Ffriend, released by Memphis, will serve the suspension in his next regular season game with an NBA team."
10/27/2006,2006-2007,The NBA suspended Danny Fortson (Sea) for 1 game for his flagrant foul on Ron Artest (Sac) during Wednesday's Sea-Sac game.
11/4/2006,2006-2007,"The NBA fined Robert Sarver (Pho owner) $25,000 for excessive complaining about the officiating during Wednesday's Pho-LAC game."
11/4/2006,2006-2007,"The NBA fined Josh Howard (Dal) $5,000 and upgraded his flagrant foul to a level 2 for his flagrant foul on Bruce Bowen (SA) during Thursday's Dal-SA game."
11/10/2006,2006-2007,The NBA suspended John-Blair Bickerstaff (Cha assistant) for 2 games for his DWI conviction.
11/14/2006,2006-2007,"The NBA fined Brevin Knight (Cha) $10,000 for failing to leave the court in a timely manner after his ejection during Friday's Cha-Sea game."
11/17/2006,2006-2007,"The NBA fined Jeff Van Gundy (Hou coach) $25,000 for publicly criticizing the refs. His complaints about the refs' treatment of Yao Ming during Sunday's Hou-Mia game appeared in a Houston Chronicle article on Wednesday."
11/27/2006,2006-2007,"The NBA fined Bobby Jackson (Mem) $20,000 for verbal abuse and failing to leave the court in a timely manner following his ejection during Saturday's Mem-Dal game."
11/29/2006,2006-2007,"The NBA fined Phil Jackson (LAL) $25,000 for criticizing the refs following Friday's LAL-Uta game."
12/6/2006,2006-2007,The NBA suspended Maurice Taylor (Sac) for 5 games for violating the league anti-drug program.
12/6/2006,2006-2007,The NBA suspended Zaza Pachulia (Atl) for 1 game for elbowing Johan Petro (Sea) during Tuesday's Atl-Sea game.
12/9/2006,2006-2007,Portland suspended Zach Randolph for making an obscene gesture toward the fans at the end of Friday's Por-Ind game.
12/11/2006,2006-2007,"Indiana suspended Stephen Jackson for 1 game for conduct detrimental to the team. Jackson got in an argument with coach Rick Carlisle during Monday's Ind-Chi game, after which Carlisle kicked Jackson off the bench."
12/18/2006,2006-2007,"The NBA handed down the suspensions for Saturday's Denver-New York fight and, as expected, the penalties were harsh. Carmelo Anthony (Den) was suspended for 15 games (throwing a punch at Collins). J.R. Smith (Den) and Nate Robinson (NY) were suspended for 10 games each (their scuffle ended up in the front row of fans). Mardy Collins (NY) was suspended for 6 games (his the flagrant foul started the whole thing). Jared Jeffries (NY) was suspended for 4 games (he aggressively tried to get at Anthony). Nene (Den) and Jerome James (NY) were suspended for 1 game each for leaving the bench during the incident (automatic suspensions, they did not participate in any altercations). In addition, the league fined the 2 teams $500,000 each."
